X,Y,Z
28.6969,6.92668,4.77747
28.5502,7.03996,4.72727
28.3272,6.7196,4.73331
29.1295,7.57104,4.76594
28.9973,7.67317,4.71881
28.7725,7.35627,4.7224
29.7612,8.48488,4.75801
29.9276,8.35641,4.8002
30.1214,8.64438,4.79872
29.9729,9.18322,4.67525
30.0465,9.12591,4.71706
30.2374,9.38599,4.71921
28.9071,7.7429,4.67011
28.8496,7.78753,4.61964
28.6169,7.47669,4.61952
30.8016,10.2904,4.69252
30.867,10.2393,4.73038
30.9588,10.3666,4.73178
29.3532,8.34857,4.66969
29.4355,8.28482,4.71522
29.6449,8.57475,4.71497
31.011,10.6982,4.62206
31.0274,10.6846,4.65624
31.06,10.733,4.65354
31.1358,10.8712,4.5992
31.1288,10.8619,4.5989
31.1297,10.8617,4.60934
30.6181,10.1794,4.61132
30.6128,10.1844,4.57822
30.4588,9.98218,4.57248
30.9662,10.6384,4.62181
30.9618,10.6427,4.59195
30.904,10.5667,4.5896
30.9087,10.5621,4.62062
30.9279,10.5463,4.65734
30.9843,10.6236,4.65747
26.9141,5.32809,4.50016
26.9307,5.3149,4.56873
27.1634,5.6239,4.56736
28.5849,7.50175,4.567
28.5761,7.50912,4.52101
28.3418,7.20186,4.51731
27.3865,5.94897,4.50561
27.4003,5.9379,4.56627
27.6401,6.2552,4.56548
26.2634,4.42587,4.57225
26.2427,4.44233,4.49195
26.0417,4.17494,4.48877
26.6832,5.02409,4.49745
26.7013,5.00975,4.57019
28.1052,6.89176,4.51406
28.1158,6.88321,4.56504
28.3514,7.19395,4.56566
31.1072,10.8335,4.59799
31.1087,10.8321,4.61519
31.1207,10.8491,4.61235
31.1196,10.8498,4.59851
31.0909,10.8121,4.5973
31.0929,10.81,4.61776
31.0423,10.7483,4.59527
31.0456,10.745,4.62139
31.0723,10.7815,4.6199
31.0697,10.7843,4.59641
31.007,10.7021,4.59381
30.8348,10.4646,4.61848
30.8298,10.4693,4.58664
30.7348,10.3446,4.5829
30.7399,10.3397,4.6154
29.8967,9.24418,4.55337
29.9028,9.23867,4.58973
30.098,9.49553,4.59504
